timestamp_utc,executable,query_file,index_file,dataset,elapsed_seconds,hit_count,return_code
2025-12-14T09:45:42Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,2.425802,4552,0
2025-12-14T09:46:33Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,1.079137,4279,0
2025-12-14T09:47:23Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,1.043368,4279,0
2025-12-14T09:49:11Z,./search_lsh,test-data/query_100k,output/index_lsh_100k,100k,2.233571,3308,0
2025-12-14T15:20:11Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,1.596376,4279,0
2025-12-14T15:31:25Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,3.228868,4552,0
2025-12-14T15:32:35Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,0.440736,4260,0
2025-12-14T15:37:12Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,0.558373,4260,0
2025-12-14T15:37:42Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,0.433445,4260,0
2025-12-14T16:17:15Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,0.471751,4260,0
2025-12-14T16:35:24Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,0.387172,3246,0
2025-12-14T16:37:46Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,0.492207,3246,0
2025-12-14T16:38:05Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,0.388191,3246,0
2025-12-14T16:38:19Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,0.310086,4260,0
2025-12-14T16:54:51Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,0.323911,4260,0
2025-12-14T16:55:28Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,0.309954,4260,0
2025-12-14T16:58:28Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,0.389570,4552,0
2025-12-15T03:56:52Z,./search_hybrid,test-data/query_100k,output/index_hybrid_100k,100k,0.756607,4552,0
2025-12-15T04:07:39Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,0.673595,3246,0
2025-12-15T04:08:49Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,0.565011,4552,0
2025-12-15T04:17:18Z,./search_mih,test-data/query_100k,output/index_mih_100k,100k,0.595714,3246,0
2025-12-15T06:21:49Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,0.571621,4552,0
2025-12-15T06:39:27Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,0.621818,4552,0
2025-12-16T14:41:24Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,0.570523,4552,0
2025-12-16T14:51:44Z,./search_casefilter,test-data/query_100k,output/index_casefilter_100k,100k,0.607294,4431,0
